Charalampidou et al.,"The tool SEMI (SRP-based Extract Method Identificatgion) ranks refactoring opportunities based on their ability to be extracted. SRP (Single Responsibility Principle) is an object-oritented principle that was proposed to allow Extract Method in longer methods. This paper outlines Long Method, one of the most common smells, to be implemented within a method to identify refactoring opportunities. The SEMI approach determines which parts of code are cohesive between statements. This can minimize the size of each method and create clear resulting methods that are increasingly SRP-compliant. This tool was validated with an industrial case study and comparative case study."
Xu et al.,"GEMS focuses on establishing the criteria that utilizes open source repositories to determine a novel ranking system. This method was tested comparatively with JDeodorant, JExtract, and SEMI to emphasize the precedence of this tool. The Eclipse plug-in was created with the value of supporting software reliability with method extraction. GEMS validates potential code for a method and assigns a ""goodness"" score to it and recomends refactoring pertaining to Extract Method."
Imazato et al.,"This paper constructs a model that identifies methods through machine learning applications. The history of developing software was analyzed as the basis of this tool to automatically suggest Extract Method refactoring in the latest source code. Two phases, learning and predicting, comprise the technique to identify opportunities to refactor with machine learning since refactoring differs for every project. The benefits of this design include analyzing case-based characteristics based on past criteria and minimizing overlooking possible refactorings through location detection"
Kaya & Fawcett,This paper  strive to implement Extract Method refactoring and urge developers to utilize uderstandable implementation and modular structures so that source code quality will not decrease throughout a project’s development. The goal is to refactor without requiring the user to select a code section. The approach searches for opportunities to refactor by declaring variables and regions of code that are fully extractable. The user can visualize the available refactoring options and choose which to apply without relying on a foreign code base
Maruyama & Hayashi,"Postponable Refactoring tool works to check conditions of code and report each defined error. These errors, normal, fatal, and recoverable, each alert the user when to apply refactoring. Each error is technically refactorable since code may be rewritten altogether, but knowing which segments need work proves useful to programmers especially throughout large projects. This Eclipse plug-in has a goal of inspiring a new field of manual and automated refactoring."
FTMPAT,"FTMPAT introduce a method that relies on slice-based cohesion metrics to merge software clones. The method starts by taking two similar methods as input and first detect syntactic differences between them using AST differencing. Subsequently, it identifies pairs of code fragments within these methods, to serve as suitable candidates for Extract Method. Then, the identified candidates are evaluated and prioritized using slice-based cohesion metrics."
Xu et al.,The tool outlined in this paper combines method-level software metrics applying a log-linear probabilistic model for accustomed refactorings. This application was tested with refactorings of real-world Extract Method applications allowing the researchers to obtain parameter sets that capture the reason behind such refactorings. This analyzation was completed through identifying code to refactor and prioritizing various method groups to refactor. The proposed model optimizes parameters that maximize the probability  of the collected dataset to accurately refactor long method bad smells. 
PRI,"PRI  employs refactoring pattern templates and traces cloned code fragments across revisions. PRI takes as input the results from a clone detector, and then automatically identifies refactored regions through refactoring pattern rules in the subsequent revisions, and summarizes refactoring changes across revisions."
Meananeatra et al.,"LMR (Long Method Remover) tool utilizes program analysis and code metrics by implements refactoring enabling conditions. This approach uses two guidlines for effective refactoring sets which are code analyzability level and statement number. Initially, LMR is applied to a java application core package which shows that long method bad smell can completely be eliminated in code without removing behavior or making it more difficult to analyze. Overall, LMR was found to meet all class objectives from the refactoring identification."
Choi et al.,This paper investigates change metrics and Extract Method throughout two studies. The relationship results deduce a clear relationship between change metrics and Extract Method. Product and change metrics must be available to accurately recommend refactorings for Extract Method. The main contributions highlight metric change differences between extracted and not-extracted entities.
Yue et al.,"CREC is an approach based on learning proposes specifc clones through feature extraction. These recommendations for automatic clone detection are based on software projects currently happening and previously documented. The tool initially refactors R-clones (historically refactored) and NR-clones (typically not refactored). This process occurs through thirty-four features that dissect the properties of each clone to catagorize. Clone data preparation, training, and testing are the three phases that implement CREC and allow it to accurately recommend refactoring to the programmer."
Yoshida et al.,"This unnamed tool for Extract Method refactoring is used as a proactive clone recommendation system. The process is meant to be implementedd as an Eclipse plug-in to keep track of changes in the code. Code clones result in decrease of productivity in software development due to multiple code fragment sets. This tool works to suggest changes in real time versus at the end of the project. This routine allows for the code to be fresh in the programmers mind, allowing for more efficient progress. This is accomplished by actively tracking the work of the user in Eclipse and suggesting edits."
"Antezana, Alcocer et al.","TOAD is a tool that performs a search of specific portions of source code that includes developer's original code selection and meets ideal conditions for Extract Method. The approach operates during the workflow of refactorings and chooses fragments of code that have accurate syntax along with outlined necessities. The tool explicitly recommends auto-refactoring alternatives when the user selects a piece of code and requests refactoring options. Overall, TOAD reduced failed attempts significantly at a lower cognitive cost for extract method refactoring."
Nyamawe et al.,This paper recommended Extract Method refactorings based on feature requests with an F-measure of 70%.
Krasniqi & Cleland-Huang,"This paper developed a model first to detect refactoring commit messages from non-refactoring commits, then differentiated between 12 refactoring types. Their findings showed that Naive Bayes and SVM achieved the best performance with an F-measure of 84% and 0.71% for binary and multiclass classification problems, respectively"
Abid et al.,"This paper highlights security throughout refactoring while attempting to improve various quality attributes. The proposed idea emphasizes security metrics and balancing code qualities through multi-objective refactoring. Compared with other approaches, this tool performs above existing approaches to improve the security of systems at a low cost while not sacrificing the quality of code. The paper determined that developers must prioritize security and other important qualities when establishing refactoring systems."
Sheneamer,"This paper automatically extract features of known train models and code clones, alerting programmers for which type to refactor. This approach specifies types of clone refactorings as certain classes, then creates a model about the clone type and anonymous clones."
Aniche et al. ,"This paper used a machine-learning approach to predict refactorings using code, process, and ownership metrics. The resulting models predict different refactorings at class, method, and variable levels with accuracy often higher than 90%. Another experiment that predicts refactorings was conducted using quality metrics."
Van der Leij et al.,"This paper  explored the recommendation of the Extract Method refactoring at ING. They observed that machine learning models could recommend Extract Method refactorings with high accuracy, and the user study reveals that ING experts tend to agree with most of the model’s recommendations."
Sagar et al.,This paper compared commit messages and source code metrics to predict Extract Method refactoring. Their main findings show that the random forest trained with commit messages or code metrics resulted in the best average accuracy of around 60%
AlOmar et al.,"This paper formulated the prediction of refactorings as a multiclass classification problem, i.e., classifying refactoring commits into six method-level refactoring operations, applying nine supervised machine learning algorithms. The prediction results for Extract Method ranged from 63% to 93% in terms of F-measure"
Nyamawe ,Ths paper employs a binary classifier and recommends required refactorings with a multi-label classifier. This is done with the help of traditional refactoring detectors and commits message analysis to detect applied refactorings through machine learning.
Bandago,"Bandago is implemented on top of JSpIRIT, an Eclipse plugin for identifying and prioritizing code smells in Java. Bandago performs a heuristic search using a simulated annealing algorithm that repeatedly applies the Extract Method refactoring"
Unnamed,"This unnamed tool for Extract Method refactoring is used as a proactive clone recommendation system. The process is meant to be implementedd as an Eclipse plug-in to keep track of changes in the code. Code clones result in decrease of productivity in software development due to multiple code fragment sets. This tool works to suggest changes in real time versus at the end of the project. This routine allows for the code to be fresh in the programmers mind, allowing for more efficient progress. This is accomplished by actively tracking the work of the user in Eclipse and suggesting edits."
Unnamed,"This paper proposes a refactoring method for finding duplicate code used in branch statements and refactoring them by extracting common parts. The results of the case studies with unskilled developers yielded, on average 10% reduction in the source code."
CloneRefactor,"CloneRefactor detects code clones that are suitable for refactoring by focusing on the context and scope of clones, Their results indicate that about 40% of the code duplication can be refactored through method extraction, while other clones require other refactoring techniques."
Shahidi et al.,This paper automatically identified and refactored the Long Method code smells in Java code using advanced graph analysis techniques. Their proposed approach was evaluated on five different Java projects. The findings reveal the applicability of the proposed method in establishing the single responsibility principle with a 21% improvement. 
Segmentation,"The tool Segmentation identifies ectract method opportunities that focus on achieving higher performance with less suggestions. When compared with other tools, segmentation outperformed with F-measure approaches and suggest that it evinced high precision regarding small methods and long methods in opportunities with extract method. Empirical validations were applied to six open source code applications to assess beneficial suggestions. Overall, Segmentation provides improvements with comparable recall and precision while identifying extract method refactorings."
LiveRef,"LiveRef is a tool implemented for Live Refactoring Java Code. It works to resolve problems with long feedback loops that allow code to be maintainable and readable. The environment provides efficient refactoring suggestions by diminishing the time that it takes to apply, recommend, and identify for the refactoring-loop. The plugin for Java IntelliJ IDE implemented a Live Refactoring Environment that automatically applies Extract Method. The tool results in improvements in quality of the code along with quicker programming solutions."
AntiCopyPaster,"AntiCopyPaster is an IntelliJ IDEA plugin, and experimented with machine learning models to increase the adoption and usage of the Extract Method refactoring while maintaining a developer's workflow.  The proposed approach relies on mining prior applied Extract Method refactorings and extracting their features to train a deep learning  classifier that detects them in the user's code. The authors trained and evaluated various popular models on a dataset of 18,942 code fragments from 13 Open Source Apache projects to develop the approach. Their results reveal that machine learning models can recommend Extract Method refactoring opportunities as soon as code duplicates are introduced in the IDE, and the participants were satisfied with the AntiCopyPaster tool."
REMS,"REMS recommended Extract Method refactoring opportunities via mining multi-view representations from code property graph. The results show that their approach outperforms four state-of-the-art refactoring tools including GEMS JExtract, SEMI and JDeodorant in effectiveness and usefulness"
REM,"REM is  an automated Extract Method built on top of the IntelliJ IDEA plugin for Rust. Results reveal that REM can extract a larger class of feature rich code fragments into semantically correct functions, can reproduce method extractions performed manually by human developers, and is efficient enough to be used in interactive development."
Komondoor and Horwitz,"This paper proposed an algorithmto select statements that are worth extracting while ensuring semantics preservation. The authors identify conditions based on control and data dependencies, and the algorithm suggests moving the selected statements when the conditions hold."
Komondoor and Horwitz,"This paper proposed a semantic preserving algorithm for extracting difficult sets of statements, including the detection of duplicated fragments and extracting them into procedures, to make them extractable, achieving ideal results in more than 70% of the difficult cases"
Juillerat and Hirsbrunner,"This paper proposes an algorithm for Extract Method refactoring to remove code clone. The algorithm first constructs the abstract syntax tree of Java code, then generates a list of tokens for clone identification, and finally identify clone that obey certain constraints for Extract Method refactoring."
Choi et al.,This paper extracted code clones for refactoring by combining clone metrics. Their observation is that the combinations of these metrics can identify refactorable clone classes with higher precision
Krishnan et al.,"This paper proposed an algorithm for refactoring of software clones with two objectives: maximize the number of mapped statements and, at the same time, minimize the number of differences between the mapped statements. The authors compared the proposed technique with CeDAR and concluded that their approach can find a significantly larger number of refactorable clones"
Ettinger et al. ,This paper contributed to the automation of type-3 clone elimination by preparation of non-contiguous code for extraction into a new method.
Shin,"This paper proposes a refactoring method for finding duplicate code used in branch statements and refactoring them by extracting common parts. The results of the case studies with unskilled developers yielded, on average 10% reduction in the source code."
Charalampidou et al.,"This paper conducted a case study to evaluate several cohesion, coupling, and size metrics to serve as indicators of the existence of Long Method, and integrate these metrics into a multiple logistic regression model, enabling the prediction of whether a method should be refactored or extracted."
Juillerat and Hirsbrunner,This paper constructed an algorithm to recognize the arguments and outcomes of an extraction method. The implementation is an Eclipse plugin and uses the Java Development Tools library provided by Eclipse.
Abadi et al. ,Abadi et al. re-approach the refactoring Rubicon by providing more general support for method extraction. The authors performed a case study to convert a Java servlet to use the model-view-controller pattern
