Exploiting bad-smells and object-oriented characteristics to prioritize classes for refactoring,10.1007/s13198-020-01001-x,Ruchika MalhotraPriya Singh,2020,http://link.springer.com/article/10.1007/s13198-020-01001-x
Automated pattern-directed refactoring for complex conditional statements,10.1007/s11771-014-2140-z,Wei Liu åˆ˜ä¼ŸZhi-gang Hu èƒ¡å¿—åˆšHong-tao Liu åˆ˜å®éŸ¬Liu Yang æ¨æŸ³,2014,http://link.springer.com/article/10.1007/s11771-014-2140-z
A Model to Identify Refactoring Effort during Maintenance by Mining Source Code Repositories,10.1007/978-3-540-69566-0_29,Raimund MoserWitold PedryczAlberto SillittiGiancarlo Succi,2008,http://link.springer.com/chapter/10.1007/978-3-540-69566-0_29
Analyzing the Impact of Refactoring Variants on Feature Location,10.1007/978-3-030-64694-3_17,Amine BenmerzougLamia YessadTewfik Ziadi,2020,http://link.springer.com/chapter/10.1007/978-3-030-64694-3_17
Refactoring for reuse: an empirical study,10.1007/s11334-021-00422-6,Eman Abdullah AlomarTianjia WangVaibhavi RautMohamed Wiem MkaouerChristian NewmanAli Ouni,2022,http://link.springer.com/article/10.1007/s11334-021-00422-6
Refactoring Code,10.1007/978-1-4302-6602-0_4,Adam GerberClifton Craig,2015,http://link.springer.com/chapter/10.1007/978-1-4302-6602-0_4
On the reuse and recommendation of model refactoring specifications,10.1007/s10270-012-0243-2,Jan ReimannMirko SeifertUwe AÃŸmann,2013,http://link.springer.com/article/10.1007/s10270-012-0243-2
Characterizing refactoring graphs in Java and JavaScript projects,10.1007/s10664-021-10023-3,Aline BritoAndre HoraMarco Tulio Valente,2021,http://link.springer.com/article/10.1007/s10664-021-10023-3
Generation of refactoring algorithms by grammatical evolution,10.1007/s10664-022-10151-4,ThainÃ¡ MarianiMarouane KessentiniSilvia Regina Vergilio,2022,http://link.springer.com/article/10.1007/s10664-022-10151-4
Refactoring of Software Product Lines,10.1007/978-3-642-37521-7_8,Sven ApelDon BatoryChristian KÃ¤stnerGunter Saake,2013,http://link.springer.com/chapter/10.1007/978-3-642-37521-7_8
Refactoring Software Packages via Community Detection in Complex Software Networks,10.1007/s11633-013-0708-y,Wei-Feng PanBo JiangBing Li,2013,http://link.springer.com/article/10.1007/s11633-013-0708-y
Formal Use of Design Patterns and Refactoring,10.1007/978-3-540-88479-8_23,Long QuanQiu ZongyanZhiming Liu,2008,http://link.springer.com/chapter/10.1007/978-3-540-88479-8_23
Extending Refactoring Guidelines to Perform Client and Test Code Adaptation,10.1007/978-3-642-13054-0_1,Wafa BasitFakhar LodhiUsman Bhatti,2010,http://link.springer.com/chapter/10.1007/978-3-642-13054-0_1
Assessing Refactoring Instances and the Maintainability Benefits of Them from Version Archives,10.1007/978-3-642-39259-7_25,Kenji FujiwaraKyohei FushidaNorihiro YoshidaHajimu Iida,2013,http://link.springer.com/chapter/10.1007/978-3-642-39259-7_25
Refactoring,10.1007/978-1-4302-0381-0_11,,2007,http://link.springer.com/chapter/10.1007/978-1-4302-0381-0_11
Extending Graph Rewriting for Refactoring,10.1007/978-3-540-30203-2_28,Niels Van EetveldeDirk Janssens,2004,http://link.springer.com/chapter/10.1007/978-3-540-30203-2_28
A Brief Review on Multi-objective Software Refactoring and a New Method for Its Recommendation,10.1007/s11831-020-09491-5,Satnam KaurLalit K. AwasthiA. L. Sangal,2021,http://link.springer.com/article/10.1007/s11831-020-09491-5
Security Planning and Refactoring in Extreme Programming,10.1007/11774129_16,Emine G. AydalRichard F. PaigeHoward ChiversPhillip J. Brooke,2006,http://link.springer.com/chapter/10.1007/11774129_16
On the Use of Graph Transformations for Model Refactoring,10.1007/11877028_7,Tom Mens,2006,http://link.springer.com/chapter/10.1007/11877028_7
Automatic software refactoring: a systematic literature review,10.1007/s11219-019-09477-y,Abdulrahman Ahmed Bobakr BaqaisMohammad Alshayeb,2020,http://link.springer.com/article/10.1007/s11219-019-09477-y
Identifying Accurate Refactoring Opportunities Using Metrics,10.1007/978-81-322-1695-7_17,Yixin BianXiaohong SuPeijun Ma,2014,http://link.springer.com/chapter/10.1007/978-81-322-1695-7_17
Measuring the Effect of Refactoring,10.1007/978-1-4471-0299-1_34,Richard PittAndy Carmichael,2001,http://link.springer.com/chapter/10.1007/978-1-4471-0299-1_34
Code Smell Refactoring for Energy Optimization of Android Apps,10.1007/978-981-16-4149-7_33,ReeshtiRajni SehgalDeepti MehrotraRenuka NagpalTanupriya Choudhury,2021,http://link.springer.com/chapter/10.1007/978-981-16-4149-7_33
Identifying extract class refactoring opportunities for internetware,10.1007/s11432-013-5024-1,Lin ChenJu QianYuMing ZhouPeng WangBaoWen Xu,2014,http://link.springer.com/article/10.1007/s11432-013-5024-1
Towards Refactoring FRETish Requirements,10.1007/978-3-031-06773-0_14,Marie FarrellMatt LuckcuckOisÃ­n SheridanRosemary Monahan,2022,http://link.springer.com/chapter/10.1007/978-3-031-06773-0_14
An Approach for Source Code Classification Using Software Metrics and Fuzzy Logic to Improve Code Quality with Refactoring Techniques,10.1007/978-3-642-22203-0_42,Pornchai LerthathairatNakornthip Prompoon,2011,http://link.springer.com/chapter/10.1007/978-3-642-22203-0_42
The Impact of Refactoring to Patterns on Software Quality Attributes,10.1007/s13369-011-0111-3,Mohammad Alshayeb,2011,http://link.springer.com/article/10.1007/s13369-011-0111-3
Refactoring Preserves Security,10.1007/978-3-319-47072-6_17,Florian KammÃ¼ller,2016,http://link.springer.com/chapter/10.1007/978-3-319-47072-6_17
Automating extract class refactoring: an improved method and its evaluation,10.1007/s10664-013-9256-x,Gabriele BavotaAndrea De LuciaAndrian MarcusRocco Oliveto,2014,http://link.springer.com/article/10.1007/s10664-013-9256-x
RePOR: Mimicking humans on refactoring tasks. Are we there yet?,10.1007/s10664-020-09826-7,Rodrigo MoralesFoutse KhomhGiuliano Antoniol,2020,http://link.springer.com/article/10.1007/s10664-020-09826-7
Refactoring Process Models in Large Process Repositories,10.1007/978-3-540-69534-9_9,Barbara WeberManfred Reichert,2008,http://link.springer.com/chapter/10.1007/978-3-540-69534-9_9
Refactoring-Based Stepwise Refinement in Abstract System-Level Design,10.1007/11802167_72,Ryosuke YamasakiKazutaka KobayashiNurul Azma ZakariaShuji NarazakiNorihiko Yoshida,2006,http://link.springer.com/chapter/10.1007/11802167_72
Tool Support for Complex Refactoring to Design Patterns,10.1007/3-540-44870-5_16,Carmen ZannierFrank Maurer,2003,http://link.springer.com/chapter/10.1007/3-540-44870-5_16
Refactoring Tools and Their Kin,10.1007/978-3-319-60074-1_8,Friedrich Steimann,2017,http://link.springer.com/chapter/10.1007/978-3-319-60074-1_8
Rank-based refactoring decision support: two studies,10.1007/s11334-011-0154-3,Liming ZhaoJane Huffman Hayes,2011,http://link.springer.com/article/10.1007/s11334-011-0154-3
Refactoring of Models,10.1007/978-3-319-58862-9_10,Bernhard Rumpe,2017,http://link.springer.com/chapter/10.1007/978-3-319-58862-9_10
Refactoring with Patterns,10.1007/978-1-4302-2728-1_15,Francesco TrucchiaJacopo Romei,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2728-1_15
Specifying Integrated Refactoring with Distributed Graph Transformations,10.1007/978-3-540-25959-6_16,Paolo BottoniFrancesco Parisi PresicceGabriele Taentzer,2004,http://link.springer.com/chapter/10.1007/978-3-540-25959-6_16
An Empirical Study to Investigate Different SMOTE Data Sampling Techniques for Improving Software Refactoring Prediction,10.1007/978-3-030-63820-7_3,Rasmita PanigrahiLov KumarSanjay Kumar Kuanar,2020,http://link.springer.com/chapter/10.1007/978-3-030-63820-7_3
A Robust Multi-objective Approach for Software Refactoring under Uncertainty,10.1007/978-3-319-09940-8_12,Mohamed Wiem MkaouerMarouane KessentiniSlim BechikhMel Ã“ CinnÃ©ide,2014,http://link.springer.com/chapter/10.1007/978-3-319-09940-8_12
Model Refactoring Using Interactive Genetic Algorithm,10.1007/978-3-642-39742-4_9,Adnane GhannemGhizlane El BoussaidiMarouane Kessentini,2013,http://link.springer.com/chapter/10.1007/978-3-642-39742-4_9
Method Level Refactoring Prediction by Weighted-SVM Machine Learning Classifier,10.1007/978-981-19-6893-8_8,Rasmita PanigrahiSanjay K. KuanarLov Kumar,2023,http://link.springer.com/chapter/10.1007/978-981-19-6893-8_8
Refactoring Code,10.1007/978-1-4842-5719-7_4,Bruce Johnson,2020,http://link.springer.com/chapter/10.1007/978-1-4842-5719-7_4
Refactoring and Active Object Languages,10.1007/978-3-030-61470-6_9,Volker StolzViolet Ka I PunRohit Gheyi,2020,http://link.springer.com/chapter/10.1007/978-3-030-61470-6_9
Code refactoring techniques for reducing energy consumption in embedded computing environment,10.1007/s10586-016-0691-5,Doohwan KimJang-Eui HongIlchul YoonSang-Ho Lee,2018,http://link.springer.com/article/10.1007/s10586-016-0691-5
A test case refactoring approach for pattern-based software development,10.1007/s11219-011-9143-x,Peng-Hua ChuNien-Lin HsuehHong-Hsiang ChenChien-Hung Liu,2012,http://link.springer.com/article/10.1007/s11219-011-9143-x
Correct Refactoring of Concurrent Java Code,10.1007/978-3-642-14107-2_11,Max SchÃ¤ferJulian DolbyManu SridharanEmina TorlakFrank Tip,2010,http://link.springer.com/chapter/10.1007/978-3-642-14107-2_11
Architectural refactoring for the cloud: a decision-centric view on cloud migration,10.1007/s00607-016-0520-y,Olaf Zimmermann,2017,http://link.springer.com/article/10.1007/s00607-016-0520-y
Improving Software Security Using Search-Based Refactoring,10.1007/978-3-642-33119-0_10,Shadi GhaithMel Ã“ CinnÃ©ide,2012,http://link.springer.com/chapter/10.1007/978-3-642-33119-0_10
Refactoring Tools,10.1007/978-3-540-78195-0_19,Danny DigRalph JohnsonFrank TipOege De MoorJan BecickaWilliam G. GriswoldMarkus Keller,2008,http://link.springer.com/chapter/10.1007/978-3-540-78195-0_19
Refactoring and Metrics for TTCN-3 Test Suites,10.1007/11951148_10,Benjamin ZeissHelmut NeukirchenJens GrabowskiDominic EvansPaul Baker,2006,http://link.springer.com/chapter/10.1007/11951148_10
Analysis and Refactoring,10.1007/978-1-4842-1257-8_6,Geertjan Wielenga,2015,http://link.springer.com/chapter/10.1007/978-1-4842-1257-8_6
A Case Study on the Impact of Refactoring on Quality and Productivity in an Agile Team,10.1007/978-3-540-85279-7_20,Raimund MoserPekka AbrahamssonWitold PedryczAlberto SillittiGiancarlo Succi,2008,http://link.springer.com/chapter/10.1007/978-3-540-85279-7_20
A Refactoring Library for Scala Compiler Extensions,10.1007/978-3-662-46663-6_2,Amanj SherwanyNosheen ZazaNathaniel Nystrom,2015,http://link.springer.com/chapter/10.1007/978-3-662-46663-6_2
Refactoring Object-Z Specifications,10.1007/978-3-540-24721-0_5,Tim McComb,2004,http://link.springer.com/chapter/10.1007/978-3-540-24721-0_5
Refactoring Browser for UML,10.1007/3-540-36557-5_26,Marko BogerThorsten SturmPer Fragemann,2003,http://link.springer.com/chapter/10.1007/3-540-36557-5_26
Tales fromÂ theÂ Code #2: A Detailed Assessment ofÂ Code Refactoringâ€™s Impact onÂ Energy Consumption,10.1007/978-3-031-11513-4_5,Zakaria OurnaniRomain RouvoyPierre RustJoel Penhoat,2022,http://link.springer.com/chapter/10.1007/978-3-031-11513-4_5
An Exploratory Investigation on Refactoring in Industrial Context,10.1007/978-3-642-02152-7_15,Yi Wang,2009,http://link.springer.com/chapter/10.1007/978-3-642-02152-7_15
EvoPat â€“ Pattern-Based Evolution and Refactoring of RDF Knowledge Bases,10.1007/978-3-642-17746-0_41,Christoph RieÃŸNorman HeinoSebastian TrampSÃ¶ren Auer,2010,http://link.springer.com/chapter/10.1007/978-3-642-17746-0_41
A Structure-Driven Process of Automated Refactoring to Design Patterns,10.1007/978-3-319-67229-8_4,Anna DereziÅ„ska,2018,http://link.springer.com/chapter/10.1007/978-3-319-67229-8_4
Refactoring with Aspects,10.1007/3-540-44870-5_47,Granville Miller,2003,http://link.springer.com/chapter/10.1007/3-540-44870-5_47
Refactoring for Separation of Concurrent Concerns,10.1007/978-3-319-27137-8_9,Yang ZhangDongwen ZhangWeixing JiYizhuo Wang,2015,http://link.springer.com/chapter/10.1007/978-3-319-27137-8_9
"Constant Refactoring After Programming (If It Ainâ€™t Broke, Fix It Anyway)",10.1007/978-1-4302-0810-5_9,Matt StephensDoug Rosenberg,2003,http://link.springer.com/chapter/10.1007/978-1-4302-0810-5_9
Do Developers Really Worry About Refactoring Re-test? An Empirical Study of Open-Source Systems,10.1007/978-3-030-03673-7_12,Stev CounsellStephen SwiftMahir ArzokyGiuseppe Destefanis,2018,http://link.springer.com/chapter/10.1007/978-3-030-03673-7_12
"Refactoring, Unit Testing, and Continuous Integration",10.1007/978-1-4302-3561-3_13,Peter MacIntyreBrian DanchillaMladen Gogala,2011,http://link.springer.com/chapter/10.1007/978-1-4302-3561-3_13
